id,type,name,vintage,adapted_from,adaptation,sequel,related,spinoff,episode_count,genres,themes,nb_votes,weighted_score,bayesian_score,begin_year,end_year
23949,movie,Detective Conan: The Scarlet Alibi,2/11/2021,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,2021,NA
23948,movie,Seven Deadly Sins: Cursed By Light,7/2/2021,NA,NA,NA,NA,NA,NA,NA,NA,13,7.0849,7.28165,2021,NA
23947,TV,Banished From The Heroes' Party,10/6/2021,22741,NA,NA,NA,NA,NA,NA,NA,64,6.6079,6.74794,2021,NA
23945,TV,Osamake: Romcom Where The Childhood Friend Won't Lose,4/14/2021,23943,NA,NA,NA,NA,NA,NA,NA,50,5.9956,6.28577,2021,NA
23942,TV,Detective Is Already Dead,7/4/2021,23940,NA,NA,NA,NA,NA,NA,NA,251,4.5924,4.72483,2021,NA
23939,TV,Sacrificial Princess & the King of Beasts,NA,19506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23938,TV,Cardfight!! Vanguard overDress,4/3/2021,NA,NA,24723,NA,NA,NA,NA,NA,1,4,NA,2021,NA
23937,TV,Shinkansen Henkei Robo Shinkalion Z,4/9/2021,NA,NA,NA,NA,NA,NA,NA,NA,2,7.9719,NA,2021,NA
23936,TV,Blue Period,9/25/2021,20070,NA,NA,NA,NA,NA,NA,NA,35,7.8147,7.73302,2021,NA
23935,TV,Vivy -Fluorite Eye's Song-,4/3/2021,NA,NA,NA,NA,NA,13,NA,NA,150,8.0344,7.99443,2021,NA
23934,movie,Kin-iro Mosaic Thank you!!,8/20/2021,NA,NA,NA,NA,NA,NA,NA,NA,1,10,NA,2021,NA
23933,TV,Fairy Ranmaru,4/8/2021,NA,NA,NA,NA,NA,NA,magic,bishounen/magical boy,17,5.1261,6.10625,2021,NA
23929,movie,BanG Dream! Poppin' Dream!,1/1/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
23928,movie,BanG Dream! Episode of Roselia,4/23/2021,NA,NA,NA,23929,NA,NA,NA,music,4,7.5737,NA,2021,NA
23926,movie,"Doraemon: Nobita's Little ""Star Wars"" 2021",3/4/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA
23925,TV,"Farewell, My Dear Cramer",4/4/2021,20336,NA,NA,NA,NA,NA,NA,NA,49,6.9115,7.02625,2021,NA
23924,movie,"Farewell, My Dear Cramer: The Movie",6/11/2021,16111,NA,23925,NA,NA,NA,NA,NA,18,7.3253,7.3931,2021,NA
23923,TV,aquatope on white sand,7/8/2021,NA,NA,NA,NA,NA,NA,drama,coming of age,254,7.5326,7.5309,2021,NA
23921,TV,ODDTAXI,4/5/2021,NA,23922,25089,NA,NA,NA,NA,NA,110,8.7289,8.60751,2021,NA
23918,TV,"Girlfriend, Girlfriend",7/2/2021,23917,NA,NA,NA,NA,NA,NA,NA,252,6.8862,6.91386,2021,NA
23915,TV,Edens Zero,4/10/2021,21579,NA,NA,NA,NA,NA,NA,NA,127,6.972,7.01713,2021,NA
23908,TV,ABCiee Working Diary,1/6/2021,NA,NA,NA,NA,NA,NA,NA,NA,6,5.2288,NA,2021,NA
23902,TV,Gloomy the Naughty Grizzly,4/12/2021,NA,NA,NA,NA,NA,NA,NA,NA,8,3.9805,NA,2021,NA
23901,TV,Drug Store in Another World - The Slow Life of a Cheat Pharmacist,7/7/2021,22956,NA,NA,NA,NA,NA,NA,NA,188,5.3068,5.43808,2021,NA
23900,TV,Tropical-Rouge! Precure,2/28/2021,NA,NA,NA,23979/24528,NA,NA,magic,magical girl/mermaids/school life,27,7.1605,7.26336,2021,NA
23898,TV,Honor Student at Magic High School,7/3/2021,17049,NA,NA,NA,NA,13,action/magic/science fiction,magical boy/magical girl/school/school life/special abilities,153,6.2059,6.29964,2021,NA
